customer_id,transaction_id,amount,payment_method,age,gender,income
517,1,61,Credit Card,64,Male,39816
517,145,339,Credit Card,64,Male,39816
517,809,731,Credit Card,64,Male,39816
517,1613,787,Credit Card,64,Male,39816
517,1634,406,Credit Card,64,Male,39816
517,2689,605,Credit Card,64,Male,39816
517,3416,842,Debit Card,64,Male,39816
517,4664,339,Credit Card,64,Male,39816
980,2,120,PayPal,31,Male,120969
980,407,436,Credit Card,31,Male,120969
980,669,965,Credit Card,31,Male,120969
980,1117,440,Credit Card,31,Male,120969
980,2141,706,PayPal,31,Male,120969
980,2346,264,PayPal,31,Male,120969
980,2362,244,Credit Card,31,Male,120969
980,4461,336,Credit Card,31,Male,120969
872,3,958,Credit Card,64,Male,114880
872,2315,112,Credit Card,64,Male,114880
872,3231,36,Credit Card,64,Male,114880
872,4065,763,Credit Card,64,Male,114880
872,4182,99,PayPal,64,Male,114880
872,4342,447,Credit Card,64,Male,114880
248,4,886,Credit Card,41,Male,69268
248,1037,260,Credit Card,41,Male,69268
248,2194,393,Credit Card,41,Male,69268
248,2457,964,PayPal,41,Male,69268
248,2822,229,Credit Card,41,Male,69268
248,2872,906,PayPal,41,Male,69268
248,4495,536,PayPal,41,Male,69268
364,5,863,PayPal,50,Male,100885
364,692,270,Credit Card,50,Male,100885
364,988,454,PayPal,50,Male,100885
364,1442,796,Debit Card,50,Male,100885
364,3199,567,Debit Card,50,Male,100885
364,3677,822,Credit Card,50,Male,100885
364,3954,881,PayPal,50,Male,100885
364,4172,201,Debit Card,50,Male,100885
364,4545,464,Credit Card,50,Male,100885
364,4981,606,PayPal,50,Male,100885
321,6,52,Credit Card,52,Female,82768
321,1821,99,PayPal,52,Female,82768
321,3986,83,Debit Card,52,Female,82768
321,4731,239,Debit Card,52,Female,82768
321,4812,596,PayPal,52,Female,82768
633,7,220,Debit Card,42,Male,130448
633,525,94,Credit Card,42,Male,130448
633,1126,993,PayPal,42,Male,130448
633,1902,345,Credit Card,42,Male,130448
286,8,977,PayPal,47,Male,94319
286,1138,92,Debit Card,47,Male,94319
286,1726,961,PayPal,47,Male,94319
286,3930,471,Debit Card,47,Male,94319
149,9,209,Credit Card,56,Male,34288
149,163,653,Debit Card,56,Male,34288
149,374,848,Credit Card,56,Male,34288
149,427,241,Debit Card,56,Male,34288
149,2010,179,PayPal,56,Male,34288
149,4023,723,Credit Card,56,Male,34288
149,4144,727,Credit Card,56,Male,34288
84,10,819,Debit Card,32,Female,96242
84,1366,375,Credit Card,32,Female,96242
84,1394,161,PayPal,32,Female,96242
84,2415,565,PayPal,32,Female,96242
84,2713,94,Debit Card,32,Female,96242
84,3690,643,Debit Card,32,Female,96242
966,11,867,Debit Card,47,Male,73363
966,802,314,Debit Card,47,Male,73363
966,933,36,PayPal,47,Male,73363
966,4355,340,Credit Card,47,Male,73363
406,12,761,Credit Card,49,Male,118656
406,49,241,Debit Card,49,Male,118656
406,592,67,Credit Card,49,Male,118656
406,1215,702,Credit Card,49,Male,118656
406,1230,443,Credit Card,49,Male,118656
406,3570,987,PayPal,49,Male,118656
406,3849,165,PayPal,49,Male,118656
406,3884,990,Credit Card,49,Male,118656
978,13,636,Debit Card,64,Male,48982
978,86,489,PayPal,64,Male,48982
978,743,678,Debit Card,64,Male,48982
978,2261,397,PayPal,64,Male,48982
978,4532,884,PayPal,64,Male,48982
456,14,35,PayPal,23,Male,47490
456,1328,562,PayPal,23,Male,47490
456,1843,213,Credit Card,23,Male,47490
456,2114,306,Debit Card,23,Male,47490
456,2165,104,PayPal,23,Male,47490
456,2318,155,PayPal,23,Male,47490
743,15,928,Credit Card,38,Female,111055
743,680,630,Debit Card,38,Female,111055
743,3661,413,PayPal,38,Female,111055
743,4650,948,PayPal,38,Female,111055
743,4877,655,PayPal,38,Female,111055
800,16,308,Debit Card,19,Male,64139
800,123,631,Debit Card,19,Male,64139
800,1444,938,PayPal,19,Male,64139
800,2145,454,Debit Card,19,Male,64139
800,2846,703,PayPal,19,Male,64139
800,3974,802,Credit Card,19,Male,64139
800,4352,302,Credit Card,19,Male,64139
800,4889,496,PayPal,19,Male,64139
800,4920,774,Debit Card,19,Male,64139
161,17,86,Debit Card,69,Female,80545
161,624,954,PayPal,69,Female,80545
161,779,476,PayPal,69,Female,80545
161,2229,284,Credit Card,69,Female,80545
161,2905,921,PayPal,69,Female,80545
161,3403,843,Debit Card,69,Female,80545
784,18,933,Credit Card,26,Male,148647
784,2065,826,Debit Card,26,Male,148647
784,2669,111,Debit Card,26,Male,148647
784,4535,796,Debit Card,26,Male,148647
784,4628,298,Credit Card,26,Male,148647
460,19,146,Credit Card,50,Male,43279
460,1067,891,Credit Card,50,Male,43279
460,4075,660,PayPal,50,Male,43279
460,4119,74,PayPal,50,Male,43279
550,20,29,Credit Card,33,Male,40337
550,344,527,Credit Card,33,Male,40337
550,1087,191,Credit Card,33,Male,40337
550,1219,171,Credit Card,33,Male,40337
550,2914,308,Credit Card,33,Male,40337
550,3443,908,Credit Card,33,Male,40337
550,4038,924,PayPal,33,Male,40337
550,4652,817,PayPal,33,Male,40337
500,21,449,Credit Card,18,Male,81367
500,514,671,PayPal,18,Male,81367
500,575,99,Debit Card,18,Male,81367
500,644,490,Debit Card,18,Male,81367
500,1550,348,PayPal,18,Male,81367
500,2673,173,Credit Card,18,Male,81367
500,3298,851,Credit Card,18,Male,81367
500,3893,805,PayPal,18,Male,81367
738,22,220,PayPal,49,Male,47598
738,2200,286,Credit Card,49,Male,47598
738,3847,656,Debit Card,49,Male,47598
738,4513,976,Credit Card,49,Male,47598
738,4806,715,Debit Card,49,Male,47598
509,23,761,Credit Card,33,Female,53397
509,1597,163,PayPal,33,Female,53397
509,2468,629,Credit Card,33,Female,53397
509,2573,378,Credit Card,33,Female,53397
509,2936,185,Debit Card,33,Female,53397
509,3124,706,PayPal,33,Female,53397
509,4289,453,Debit Card,33,Female,53397
654,24,560,PayPal,29,Male,123409
654,1065,811,Debit Card,29,Male,123409
