review_id,customer_id,payment_method,rating,review_text
1,103,Debit Card,2,Terrible experience...
2,436,Debit Card,1,Excellent service!
3,861,PayPal,2,Average quality.
4,271,PayPal,2,Terrible experience...
5,107,Debit Card,2,Terrible experience...
6,72,Credit Card,3,Terrible experience...
7,701,PayPal,1,Excellent service!
8,21,Credit Card,4,Average quality.
9,615,PayPal,2,Excellent service!
10,122,Credit Card,1,Terrible experience...
11,467,Credit Card,5,Average quality.
12,215,Credit Card,2,Excellent service!
13,331,Debit Card,2,Terrible experience...
14,459,Credit Card,4,Terrible experience...
15,88,Credit Card,3,Excellent service!
16,373,Credit Card,3,Terrible experience...
17,100,PayPal,2,Terrible experience...
18,872,Credit Card,1,Average quality.
19,664,PayPal,5,Terrible experience...
20,131,Credit Card,5,Excellent service!
21,662,Credit Card,1,Average quality.
22,309,Debit Card,2,Excellent service!
23,770,PayPal,5,Terrible experience...
24,344,Credit Card,3,Average quality.
25,492,PayPal,1,Average quality.
26,414,PayPal,4,Average quality.
27,806,Debit Card,2,Average quality.
28,386,Debit Card,1,Excellent service!
29,192,Debit Card,5,Terrible experience...
30,956,Debit Card,2,Terrible experience...
31,277,Debit Card,3,Average quality.
32,161,Debit Card,2,Terrible experience...
33,460,Debit Card,2,Excellent service!
34,314,Debit Card,3,Terrible experience...
35,22,Credit Card,3,Excellent service!
36,253,PayPal,2,Excellent service!
37,748,Debit Card,3,Terrible experience...
38,857,Debit Card,1,Excellent service!
39,561,PayPal,3,Excellent service!
40,475,Credit Card,3,Excellent service!
41,59,PayPal,2,Excellent service!
42,511,PayPal,1,Average quality.
43,682,Debit Card,4,Terrible experience...
44,476,PayPal,4,Average quality.
45,700,PayPal,5,Excellent service!
46,976,Debit Card,3,Terrible experience...
47,783,Debit Card,3,Excellent service!
48,190,Debit Card,1,Terrible experience...
49,958,Debit Card,4,Average quality.
50,687,PayPal,5,Terrible experience...
51,958,PayPal,1,Excellent service!
52,563,Credit Card,3,Terrible experience...
53,876,Credit Card,4,Terrible experience...
54,567,PayPal,5,Average quality.
55,244,Credit Card,2,Excellent service!
56,832,PayPal,4,Terrible experience...
57,505,Credit Card,5,Average quality.
58,131,Debit Card,1,Terrible experience...
59,485,Credit Card,2,Excellent service!
60,819,Debit Card,5,Terrible experience...
61,647,Debit Card,5,Terrible experience...
62,21,Debit Card,3,Terrible experience...
63,841,Debit Card,4,Terrible experience...
64,167,Credit Card,3,Excellent service!
65,274,PayPal,2,Average quality.
66,388,Debit Card,5,Average quality.
67,601,Credit Card,3,Terrible experience...
68,316,Debit Card,4,Excellent service!
