transaction_id,customer_id,amount,flagged_transaction
1,103,983,not_fraud
2,436,641,not_fraud
3,861,903,fraud
4,271,576,fraud
5,107,36,fraud
6,72,639,not_fraud
7,701,742,not_fraud
8,21,240,not_fraud
9,615,574,not_fraud
10,122,816,not_fraud
11,467,330,fraud
12,215,922,not_fraud
13,331,242,not_fraud
14,459,679,not_fraud
15,88,446,fraud
16,373,790,not_fraud
17,100,542,fraud
18,872,412,fraud
19,664,62,fraud
20,131,796,fraud
21,662,322,fraud
22,309,290,not_fraud
23,770,735,not_fraud
24,344,40,fraud
25,492,346,fraud
26,414,192,fraud
27,806,32,not_fraud
28,386,553,not_fraud
29,192,455,fraud
30,956,83,not_fraud
31,277,19,not_fraud
32,161,493,fraud
33,460,465,fraud
34,314,575,not_fraud
35,22,573,not_fraud
36,253,669,not_fraud
37,748,169,fraud
38,857,891,fraud
39,561,23,fraud
40,475,187,not_fraud
41,59,421,not_fraud
42,511,887,fraud
43,682,62,not_fraud
44,476,417,fraud
45,700,856,not_fraud
46,976,31,fraud
47,783,39,not_fraud
48,190,712,not_fraud
49,958,269,fraud
50,687,214,fraud
51,958,68,fraud
52,563,480,fraud
53,876,785,fraud
54,567,475,not_fraud
55,244,21,fraud
56,832,640,fraud
57,505,936,fraud
58,131,983,fraud
59,485,299,fraud
60,819,859,not_fraud
61,647,769,fraud
62,21,363,fraud
63,841,648,fraud
64,167,84,not_fraud
65,274,882,not_fraud
66,388,725,fraud
67,601,570,fraud
68,316,600,not_fraud
69,14,450,not_fraud
70,242,250,not_fraud
71,777,870,fraud
72,346,163,fraud
73,565,795,not_fraud
74,898,105,fraud
75,340,735,not_fraud
76,92,303,not_fraud
77,367,218,not_fraud
78,956,352,fraud
79,455,97,not_fraud
80,428,827,not_fraud
81,509,785,fraud
82,776,946,not_fraud
83,943,399,fraud
84,35,334,not_fraud
85,206,949,fraud
86,81,898,not_fraud
87,932,841,not_fraud
88,562,166,not_fraud
89,872,677,not_fraud
90,388,660,not_fraud
91,2,642,fraud
92,390,586,fraud
93,566,628,not_fraud
94,106,668,not_fraud
95,772,146,not_fraud
96,822,932,fraud
97,477,683,fraud
98,703,437,not_fraud
99,402,461,fraud
100,730,621,not_fraud
101,556,859,not_fraud
102,162,920,not_fraud
103,202,828,fraud
104,958,150,not_fraud
105,996,92,not_fraud
106,270,186,not_fraud
107,863,207,fraud
108,816,633,fraud
109,271,577,fraud
110,456,981,not_fraud
111,462,700,fraud
112,727,430,not_fraud
113,252,410,fraud
114,702,707,not_fraud
115,296,480,fraud
116,725,227,not_fraud
117,720,934,fraud
118,749,938,fraud
119,338,837,fraud
120,879,996,not_fraud
121,53,738,fraud
122,792,641,fraud
123,922,960,fraud
124,217,915,fraud
125,764,184,not_fraud
126,188,32,fraud
127,380,734,not_fraud
128,493,926,not_fraud
129,41,244,not_fraud
130,157,22,not_fraud
131,15,110,fraud
132,813,938,not_fraud
133,65,545,not_fraud
134,857,885,not_fraud
135,839,532,not_fraud
136,521,794,fraud
137,344,461,fraud
138,129,440,not_fraud
139,648,802,not_fraud
140,472,615,not_fraud
141,63,722,fraud
142,139,542,fraud
143,499,861,fraud
144,593,988,fraud
145,392,732,fraud
146,675,661,not_fraud
147,419,302,fraud
148,289,819,fraud
149,379,922,not_fraud
150,773,110,fraud
151,490,511,fraud
152,231,313,fraud
153,41,880,not_fraud
154,28,549,fraud
155,135,562,not_fraud
156,201,364,not_fraud
157,840,312,fraud
158,780,505,fraud
159,930,667,fraud
160,33,777,fraud
161,48,983,not_fraud
162,503,236,fraud
163,407,245,not_fraud
164,574,882,not_fraud
165,728,901,not_fraud
166,805,464,not_fraud
167,99,22,not_fraud
168,684,219,fraud
169,872,750,not_fraud
170,726,406,not_fraud
171,987,109,fraud
172,547,40,fraud
173,961,907,not_fraud
174,739,537,not_fraud
175,613,658,fraud
176,943,338,not_fraud
177,462,175,fraud
178,643,468,fraud
179,769,831,not_fraud
180,5,961,fraud
181,218,991,not_fraud
182,503,109,not_fraud
183,767,630,not_fraud
184,398,864,fraud
185,871,182,not_fraud
186,795,758,fraud
187,393,171,not_fraud
188,207,914,not_fraud
189,15,737,fraud
190,858,785,not_fraud
191,554,272,not_fraud
192,892,813,fraud
193,461,283,fraud
194,691,12,fraud
195,575,37,not_fraud
196,864,335,fraud
197,743,949,fraud
198,241,158,not_fraud
199,564,549,fraud
200,96,497,not_fraud
201,900,831,not_fraud
