payment_id,due_date,payment_processing_time,payment_method
1,2023-01-01,7,Credit Card
2,2023-01-02,4,Debit Card
3,2023-01-03,8,PayPal
4,2023-01-04,5,Debit Card
5,2023-01-05,7,PayPal
6,2023-01-06,3,PayPal
7,2023-01-07,7,Debit Card
8,2023-01-08,8,Credit Card
9,2023-01-09,5,Debit Card
10,2023-01-10,4,PayPal
11,2023-01-11,8,Debit Card
12,2023-01-12,8,Debit Card
13,2023-01-13,3,PayPal
14,2023-01-14,6,Credit Card
15,2023-01-15,5,Debit Card
16,2023-01-16,2,PayPal
17,2023-01-17,8,PayPal
18,2023-01-18,6,Debit Card
19,2023-01-19,2,Credit Card
20,2023-01-20,5,Debit Card
21,2023-01-21,1,Credit Card
22,2023-01-22,6,Credit Card
23,2023-01-23,9,Credit Card
24,2023-01-24,1,Credit Card
25,2023-01-25,3,Debit Card
26,2023-01-26,7,PayPal
27,2023-01-27,4,PayPal
28,2023-01-28,9,PayPal
29,2023-01-29,3,PayPal
30,2023-01-30,5,PayPal
31,2023-01-31,3,PayPal
32,2023-02-01,7,Debit Card
33,2023-02-02,5,Credit Card
34,2023-02-03,9,PayPal
35,2023-02-04,7,Debit Card
36,2023-02-05,2,PayPal
37,2023-02-06,4,PayPal
38,2023-02-07,9,Credit Card
39,2023-02-08,2,Credit Card
40,2023-02-09,9,Credit Card
41,2023-02-10,5,PayPal
42,2023-02-11,2,PayPal
43,2023-02-12,4,PayPal
44,2023-02-13,7,Credit Card
45,2023-02-14,8,Debit Card
46,2023-02-15,3,PayPal
47,2023-02-16,1,PayPal
48,2023-02-17,4,PayPal
49,2023-02-18,2,Debit Card
50,2023-02-19,8,PayPal
51,2023-02-20,4,Debit Card
52,2023-02-21,2,PayPal
53,2023-02-22,6,Debit Card
54,2023-02-23,6,PayPal
55,2023-02-24,4,Credit Card
56,2023-02-25,6,Credit Card
57,2023-02-26,2,Credit Card
58,2023-02-27,2,Credit Card
59,2023-02-28,4,PayPal
60,2023-03-01,8,Credit Card
61,2023-03-02,7,Debit Card
62,2023-03-03,9,Credit Card
63,2023-03-04,8,Credit Card
64,2023-03-05,5,Credit Card
65,2023-03-06,2,PayPal
66,2023-03-07,5,Credit Card
67,2023-03-08,8,Debit Card
68,2023-03-09,9,Credit Card
69,2023-03-10,9,Credit Card
70,2023-03-11,1,Credit Card
71,2023-03-12,9,Debit Card
72,2023-03-13,7,Credit Card
73,2023-03-14,9,Debit Card
74,2023-03-15,8,Debit Card
75,2023-03-16,1,Credit Card
76,2023-03-17,8,Debit Card
77,2023-03-18,8,PayPal
78,2023-03-19,3,Credit Card
79,2023-03-20,1,Credit Card
80,2023-03-21,8,Debit Card
81,2023-03-22,3,Debit Card
82,2023-03-23,3,Credit Card
83,2023-03-24,1,PayPal
84,2023-03-25,5,Debit Card
85,2023-03-26,7,Debit Card
86,2023-03-27,9,PayPal
87,2023-03-28,7,PayPal
88,2023-03-29,9,Credit Card
89,2023-03-30,8,PayPal
90,2023-03-31,2,Credit Card
91,2023-04-01,1,PayPal
92,2023-04-02,7,Debit Card
93,2023-04-03,7,Credit Card
94,2023-04-04,8,Credit Card
95,2023-04-05,5,Credit Card
96,2023-04-06,3,PayPal
97,2023-04-07,8,Debit Card
98,2023-04-08,6,Credit Card
99,2023-04-09,3,Credit Card
100,2023-04-10,1,Credit Card
101,2023-04-11,3,Credit Card
102,2023-04-12,5,Debit Card
103,2023-04-13,3,PayPal
104,2023-04-14,1,Debit Card
