review_id,customer_id,payment_method,rating,review_text,point_of_transaction,country,sentiment_label
1,103,Debit Card,5,Average quality.,Online,Italy,positive
2,436,PayPal,5,Average quality.,ATM,Japan,positive
3,861,PayPal,1,Terrible experience...,Hotel,Spain,negative
4,271,Debit Card,5,Excellent service!,ATM,Singapore,positive
5,107,Bank Transfer,4,Average quality.,Restaurant,United Kingdom,positive
6,72,Credit Card,4,Terrible experience...,Hotel,Sweden,positive
7,701,Bank Transfer,1,Terrible experience...,Retail Store,India,negative
8,21,Bank Transfer,5,Excellent service!,ATM,Netherlands,positive
9,615,Debit Card,1,Average quality.,Gas Station,Russia,negative
10,122,Credit Card,5,Excellent service!,Restaurant,Singapore,positive
11,467,Credit Card,1,Average quality.,Fitness Center,South Africa,negative
12,215,Bank Transfer,4,Excellent service!,Cinema,Australia,positive
13,331,Debit Card,3,Average quality.,Cinema,France,neutral
14,459,Credit Card,2,Average quality.,Gas Station,Sweden,negative
15,88,Bank Transfer,1,Excellent service!,Cinema,Australia,negative
16,373,Credit Card,3,Average quality.,Gas Station,Russia,neutral
17,100,Debit Card,1,Excellent service!,Retail Store,India,negative
18,872,Debit Card,3,Excellent service!,Amusement Park,Sweden,neutral
19,664,Debit Card,4,Average quality.,Online,New Zealand,positive
20,131,Credit Card,5,Average quality.,Hotel,Italy,positive
21,662,PayPal,4,Excellent service!,Gas Station,China,positive
22,309,Credit Card,1,Terrible experience...,Fitness Center,India,negative
23,770,PayPal,2,Excellent service!,Bar,Italy,negative
24,344,Debit Card,2,Terrible experience...,Bar,Sweden,negative
25,492,Bank Transfer,5,Terrible experience...,Fitness Center,Brazil,positive
26,414,PayPal,5,Excellent service!,Bar,Switzerland,positive
27,806,Debit Card,2,Excellent service!,Supermarket,Singapore,negative
28,386,Debit Card,1,Excellent service!,Cinema,New Zealand,negative
29,192,PayPal,5,Terrible experience...,Gas Station,Canada,positive
30,956,Bank Transfer,5,Excellent service!,Restaurant,Spain,positive
31,277,Debit Card,5,Excellent service!,Gas Station,China,positive
32,161,PayPal,5,Average quality.,Restaurant,Japan,positive
33,460,Bank Transfer,3,Average quality.,Retail Store,Brazil,neutral
34,314,Bank Transfer,1,Average quality.,Restaurant,Australia,negative
35,22,Debit Card,3,Excellent service!,Amusement Park,United Kingdom,neutral
36,253,Credit Card,3,Excellent service!,Bar,Netherlands,neutral
37,748,Credit Card,3,Excellent service!,Cinema,France,neutral
38,857,Debit Card,3,Terrible experience...,Hotel,South Africa,neutral
39,561,Bank Transfer,2,Terrible experience...,Hotel,New Zealand,negative
40,475,Debit Card,2,Average quality.,Supermarket,Spain,negative
41,59,PayPal,3,Terrible experience...,Retail Store,Canada,neutral
42,511,Credit Card,1,Terrible experience...,Amusement Park,USA,negative
43,682,PayPal,3,Terrible experience...,Fitness Center,United Kingdom,neutral
44,476,Debit Card,5,Average quality.,Museum,United Kingdom,positive
45,700,Debit Card,5,Average quality.,Amusement Park,Mexico,positive
46,976,Bank Transfer,3,Terrible experience...,Cinema,Japan,neutral
47,783,Bank Transfer,3,Excellent service!,Restaurant,Mexico,neutral
48,190,Bank Transfer,1,Average quality.,Supermarket,India,negative
49,958,PayPal,4,Terrible experience...,Online,Mexico,positive
50,687,Bank Transfer,3,Excellent service!,Restaurant,USA,neutral
