transaction_id,customer_id,amount,time_of_day,point_of_transaction,country,flagged_transaction
1,103,142,7,Museum,China,not_fraud
2,436,35,22,Hotel,Russia,not_fraud
3,861,128,12,Supermarket,Sweden,not_fraud
4,271,1029,7,Amusement Park,France,fraud
5,107,42,18,Cinema,Switzerland,not_fraud
6,72,22,5,Hotel,France,not_fraud
7,701,61,22,Retail Store,United Kingdom,not_fraud
8,21,203,14,Fitness Center,Switzerland,not_fraud
9,615,56,9,Supermarket,South Africa,not_fraud
10,122,32,16,Restaurant,Brazil,not_fraud
11,467,62,0,Bar,Italy,not_fraud
12,215,16,6,Cinema,USA,not_fraud
13,331,119,12,ATM,Italy,not_fraud
14,459,44,2,Museum,India,not_fraud
15,88,39,18,Gas Station,United Kingdom,not_fraud
16,373,54,14,ATM,New Zealand,fraud
17,100,59,4,Restaurant,Sweden,not_fraud
18,872,13,10,Cinema,Australia,not_fraud
19,664,67,21,Fitness Center,Australia,not_fraud
20,131,1023,17,Amusement Park,Germany,not_fraud
21,662,72,2,Fitness Center,Australia,not_fraud
22,309,96,5,Retail Store,Sweden,not_fraud
23,770,91,2,Online,Germany,fraud
24,344,50,4,Hotel,Russia,not_fraud
25,492,46,8,Gas Station,United Kingdom,not_fraud
26,414,17,18,Amusement Park,USA,not_fraud
27,806,84,12,Cinema,France,not_fraud
28,386,25,5,Fitness Center,Mexico,not_fraud
29,192,44,10,Gas Station,Netherlands,not_fraud
30,956,26,20,Supermarket,Japan,not_fraud
31,277,17,20,Hotel,Canada,not_fraud
32,161,59,13,ATM,Netherlands,fraud
33,460,12,5,Bar,Germany,not_fraud
34,314,79,5,Supermarket,Japan,not_fraud
35,22,29,16,Supermarket,Germany,not_fraud
36,253,10,10,Restaurant,New Zealand,not_fraud
37,748,45,14,Online,Spain,fraud
38,857,12,8,Hotel,Germany,not_fraud
39,561,26,20,Restaurant,Sweden,not_fraud
40,475,71,16,Online,Australia,fraud
41,59,13,23,Gas Station,New Zealand,not_fraud
42,511,101,6,Gas Station,India,not_fraud
43,682,10,6,Restaurant,India,not_fraud
44,476,24,20,Retail Store,Germany,not_fraud
45,700,77,0,Hotel,USA,not_fraud
46,976,29,7,Cinema,South Africa,not_fraud
47,783,15,4,Bar,USA,not_fraud
48,190,32,18,Amusement Park,India,not_fraud
49,958,25,7,Supermarket,Switzerland,not_fraud
50,687,102,16,Hotel,Russia,not_fraud
51,958,28,18,Amusement Park,Mexico,not_fraud
52,563,87,11,Supermarket,Canada,not_fraud
53,876,121,22,Cinema,Japan,not_fraud
54,567,38,14,Supermarket,Spain,not_fraud
55,244,130,3,Supermarket,Brazil,not_fraud
56,832,33,22,Amusement Park,India,not_fraud
57,505,176,11,ATM,Australia,fraud
58,131,14,12,Restaurant,Netherlands,not_fraud
59,485,68,13,ATM,Russia,fraud
60,819,44,4,Restaurant,Switzerland,not_fraud
61,647,34,21,ATM,Mexico,fraud
62,21,60,15,Hotel,Germany,not_fraud
63,841,70,6,Amusement Park,Russia,not_fraud
64,167,10,14,Amusement Park,Sweden,not_fraud
65,274,19,12,Restaurant,South Africa,not_fraud
66,388,72,15,Fitness Center,Brazil,not_fraud
67,601,64,11,Bar,Brazil,not_fraud
68,316,179,6,Restaurant,Australia,not_fraud
69,14,81,15,Museum,Australia,not_fraud
70,242,160,22,Cinema,New Zealand,not_fraud
71,777,70,22,Cinema,Spain,not_fraud
72,346,27,12,ATM,USA,fraud
73,565,15,22,Supermarket,Germany,not_fraud
74,898,86,2,Museum,Japan,not_fraud
75,340,61,14,Hotel,United Kingdom,not_fraud
76,92,12,2,Cinema,China,not_fraud
77,367,32,6,Bar,New Zealand,not_fraud
78,956,167,17,Museum,France,not_fraud
79,455,44,13,Gas Station,Russia,not_fraud
80,428,38,17,Hotel,Russia,not_fraud
81,509,40,18,Retail Store,Sweden,not_fraud
82,776,21,13,Cinema,India,not_fraud
83,943,32,19,Cinema,Spain,not_fraud
84,35,33,5,Online,New Zealand,fraud
85,206,12,7,Cinema,China,not_fraud
86,81,82,6,Restaurant,Brazil,not_fraud
87,932,36,19,Retail Store,Sweden,not_fraud
88,562,96,17,Supermarket,France,not_fraud
89,872,1104,17,ATM,Netherlands,fraud
90,388,21,14,Restaurant,Mexico,not_fraud
91,2,63,19,Restaurant,Germany,not_fraud
92,390,41,21,Cinema,Canada,not_fraud
93,566,116,18,Amusement Park,China,not_fraud
94,106,1022,21,Bar,Italy,not_fraud
95,772,66,20,Online,Singapore,fraud
96,822,56,20,Fitness Center,Singapore,not_fraud
97,477,27,1,Cinema,Switzerland,not_fraud
98,703,17,7,Online,Mexico,fraud
99,402,62,20,Amusement Park,Singapore,not_fraud
100,730,77,10,ATM,Brazil,fraud
101,556,28,17,Hotel,Russia,not_fraud
102,162,1061,22,Supermarket,Spain,not_fraud
103,202,1035,12,Supermarket,Germany,not_fraud
104,958,72,8,Museum,Sweden,not_fraud
105,996,21,8,Supermarket,Singapore,not_fraud
106,270,120,16,Online,South Africa,fraud
107,863,26,6,Fitness Center,New Zealand,not_fraud
108,816,32,8,Fitness Center,USA,not_fraud
109,271,12,21,Cinema,Germany,not_fraud
110,456,15,0,Supermarket,Mexico,not_fraud
111,462,46,1,Retail Store,Switzerland,not_fraud
112,727,25,3,Amusement Park,Mexico,not_fraud
113,252,100,13,Online,United Kingdom,fraud
114,702,10,3,Online,Singapore,fraud
115,296,33,1,Hotel,China,not_fraud
116,725,30,7,Retail Store,Brazil,not_fraud
117,720,10,17,Online,China,fraud
118,749,16,18,Supermarket,United Kingdom,not_fraud
119,338,36,13,Retail Store,India,not_fraud
120,879,43,19,Retail Store,Mexico,not_fraud
121,53,35,9,Online,France,fraud
122,792,47,16,ATM,China,fraud
123,922,55,7,Cinema,United Kingdom,not_fraud
124,217,1010,13,Amusement Park,Canada,not_fraud
125,764,41,20,Supermarket,Japan,not_fraud
126,188,175,22,Hotel,Sweden,not_fraud
127,380,46,7,Online,India,fraud
