review_id,customer_id,payment_method,rating,review_text,point_of_transaction,country
1,103,Credit Card,1,Terrible experience...,Amusement Park,Spain
2,436,Debit Card,1,Average quality.,Supermarket,New Zealand
3,861,Credit Card,2,Excellent service!,Cinema,France
4,271,Debit Card,1,Excellent service!,Cinema,India
5,107,Debit Card,2,Excellent service!,Online,Singapore
6,72,PayPal,5,Excellent service!,Online,Canada
7,701,Debit Card,2,Average quality.,Online,India
8,21,Credit Card,1,Terrible experience...,Bar,Spain
9,615,Credit Card,5,Average quality.,Fitness Center,New Zealand
10,122,Debit Card,1,Terrible experience...,Fitness Center,Brazil
11,467,PayPal,2,Average quality.,Amusement Park,Canada
12,215,PayPal,3,Excellent service!,Hotel,Russia
13,331,Credit Card,4,Excellent service!,ATM,Germany
14,459,PayPal,1,Average quality.,Retail Store,New Zealand
15,88,Debit Card,2,Average quality.,Gas Station,Mexico
16,373,Debit Card,5,Terrible experience...,ATM,Singapore
17,100,Credit Card,1,Average quality.,Hotel,Mexico
18,872,Debit Card,1,Average quality.,Amusement Park,Canada
19,664,Credit Card,4,Terrible experience...,Bar,China
20,131,Debit Card,2,Terrible experience...,Supermarket,Brazil
21,662,Credit Card,3,Terrible experience...,ATM,Netherlands
22,309,PayPal,5,Average quality.,Supermarket,Germany
23,770,Debit Card,2,Terrible experience...,Retail Store,Brazil
24,344,Debit Card,5,Excellent service!,Fitness Center,Switzerland
25,492,Credit Card,1,Excellent service!,Hotel,Canada
26,414,Credit Card,4,Excellent service!,Museum,Australia
27,806,Debit Card,4,Average quality.,Amusement Park,Canada
28,386,Credit Card,3,Excellent service!,Hotel,Sweden
29,192,Debit Card,4,Average quality.,Gas Station,Japan
30,956,PayPal,1,Average quality.,Bar,Switzerland
31,277,Credit Card,3,Excellent service!,Gas Station,Brazil
32,161,Debit Card,2,Terrible experience...,Hotel,Brazil
33,460,PayPal,4,Average quality.,Gas Station,France
34,314,PayPal,3,Excellent service!,Fitness Center,Sweden
35,22,Debit Card,1,Average quality.,Restaurant,United Kingdom
36,253,Credit Card,5,Terrible experience...,Hotel,Australia
37,748,Debit Card,5,Terrible experience...,Amusement Park,China
38,857,PayPal,1,Excellent service!,ATM,Russia
39,561,Debit Card,1,Average quality.,Amusement Park,China
40,475,Credit Card,5,Average quality.,Restaurant,Russia
41,59,PayPal,3,Average quality.,Museum,Brazil
42,511,Debit Card,5,Average quality.,ATM,Australia
43,682,Credit Card,1,Excellent service!,Restaurant,France
44,476,PayPal,4,Terrible experience...,ATM,Singapore
45,700,Credit Card,2,Excellent service!,Museum,China
46,976,PayPal,4,Average quality.,Amusement Park,India
47,783,Debit Card,4,Average quality.,Museum,France
48,190,Credit Card,1,Terrible experience...,Hotel,France
49,958,PayPal,5,Average quality.,Online,Russia
50,687,Credit Card,3,Excellent service!,Cinema,New Zealand
51,958,Credit Card,4,Excellent service!,Cinema,Germany
52,563,Debit Card,5,Terrible experience...,Restaurant,South Africa
53,876,Credit Card,3,Excellent service!,Cinema,Brazil
54,567,PayPal,4,Excellent service!,Amusement Park,Japan
55,244,PayPal,3,Excellent service!,Supermarket,New Zealand
56,832,PayPal,5,Excellent service!,Restaurant,Germany
57,505,PayPal,2,Average quality.,ATM,United Kingdom
58,131,Debit Card,5,Excellent service!,Museum,Russia
59,485,Credit Card,1,Terrible experience...,Museum,Sweden
60,819,Debit Card,3,Terrible experience...,Bar,Russia
61,647,Credit Card,2,Excellent service!,Gas Station,Netherlands
62,21,Credit Card,3,Terrible experience...,Amusement Park,India
63,841,Credit Card,3,Excellent service!,ATM,France
64,167,Debit Card,4,Terrible experience...,Supermarket,Sweden
65,274,Credit Card,1,Terrible experience...,Bar,Italy
66,388,Debit Card,3,Excellent service!,Cinema,Japan
67,601,PayPal,5,Excellent service!,Supermarket,United Kingdom
68,316,PayPal,5,Average quality.,Restaurant,Mexico
69,14,Credit Card,4,Excellent service!,Fitness Center,Japan
70,242,Debit Card,1,Excellent service!,Museum,France
71,777,PayPal,1,Average quality.,Retail Store,South Africa
72,346,Debit Card,5,Excellent service!,Retail Store,Russia
73,565,Debit Card,2,Excellent service!,Cinema,Canada
74,898,Credit Card,4,Average quality.,Retail Store,Mexico
75,340,PayPal,4,Excellent service!,Retail Store,Mexico
76,92,Credit Card,5,Excellent service!,ATM,India
77,367,Credit Card,5,Average quality.,ATM,Russia
78,956,PayPal,2,Average quality.,Gas Station,Singapore
79,455,PayPal,2,Terrible experience...,Hotel,South Africa
80,428,Debit Card,1,Excellent service!,Cinema,Brazil
81,509,PayPal,4,Terrible experience...,Retail Store,South Africa
82,776,Debit Card,4,Terrible experience...,Gas Station,South Africa
83,943,Debit Card,5,Average quality.,Cinema,Canada
84,35,Debit Card,1,Excellent service!,Retail Store,United Kingdom
85,206,PayPal,4,Excellent service!,Amusement Park,Netherlands
86,81,Credit Card,1,Average quality.,Museum,Spain
87,932,Debit Card,1,Terrible experience...,Online,Italy
88,562,Credit Card,5,Average quality.,Amusement Park,France
89,872,Credit Card,1,Excellent service!,Bar,Canada
90,388,PayPal,2,Average quality.,Cinema,Spain
91,2,Credit Card,2,Excellent service!,Hotel,USA
92,390,Credit Card,3,Terrible experience...,Bar,Sweden
93,566,PayPal,5,Excellent service!,Gas Station,Mexico
94,106,Debit Card,3,Terrible experience...,Gas Station,Germany
95,772,Credit Card,2,Terrible experience...,Retail Store,USA
96,822,PayPal,3,Excellent service!,Bar,Switzerland
97,477,Credit Card,5,Excellent service!,Museum,Spain
98,703,Credit Card,5,Terrible experience...,Retail Store,South Africa
99,402,Debit Card,1,Average quality.,Cinema,India
100,730,Credit Card,4,Excellent service!,Gas Station,France
101,556,PayPal,1,Terrible experience...,Online,Italy
102,162,Credit Card,5,Terrible experience...,Gas Station,USA
